Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,GRP
8/28/2017,Acme,#07993 ACME,7.98,debit,Groceries,CREDIT CARD,FOOD
4/1/2018,Chairs Brooklyn,12 CHAIRS - BROOKLYN,20.14,debit,Restaurants,CREDIT CARD,FOOD
4/5/2017,Yr Bday Karen,2 yr bday from Karen and steve -,100,credit,Income,Mazie,INCOME
3/28/2018,Emmons Garage Llc,2027 EMMONS GARAGE LLC,15,debit,Parking,CREDIT CARD,GENERAL
9/15/2018,Green Point,21 GREENPOINT AVE,40.28,debit,Business Services,CREDIT CARD,FOOD
3/15/2018,Deposit Hsbc Bank,"ACH Deposit From HSBC BANK USA, NA",5000,credit,Income,PREMIUM SAVINGS,IGNORE
2/28/2018,Deposit Hsbc Bank,"ACH Deposit From HSBC BANK USA, NA",2000,credit,Income,PREMIUM SAVINGS,IGNORE
2/27/2018,Deposit Hsbc Online,ACH Deposit From HSBC ONLINE,5000,credit,Income,PREMIUM SAVINGS,IGNORE
6/3/2018,Akdeniz Mediterranean Cuisine Inc.,AKDENIZ MEDITERRANEAN CUI,41.51,debit,Restaurants,CREDIT CARD,FOOD
2/4/2018,Alamo City Point,ALAMO CITY POINT REST,65.83,debit,Movies & DVDs,CREDIT CARD,TRAVEL
1/22/2017,Albertsons,ALBERTSONS #6586,6.66,debit,Groceries,CREDIT CARD,TRAVEL
7/27/2018,Alidoro,ALIDORO II LLC,18.78,debit,Groceries,CREDIT CARD,TRAVEL
7/25/2017,All Hands,ALL HANDS,144.4,debit,Restaurants,CREDIT CARD,FOOD
7/22/2018,Alley Pond Driving,ALLEY POND DRIVING,13.25,debit,Sports,CREDIT CARD,GENERAL
11/30/2017,Allswell,ALLSWELL,39.66,debit,Restaurants,CREDIT CARD,FOOD
3/21/2018,Amazon,Amazon Digital Svcs,0.89,debit,Shopping,CREDIT CARD,GENERAL
7/19/2017,Amazon,Amazon Digital Svcs,0.98,debit,Shopping,CREDIT CARD,GENERAL
7/24/2018,Amazon,AMAZON MKTPLACE PMTS,79.99,debit,Shopping,CREDIT CARD,GENERAL
7/18/2018,Amazon,AMAZON MKTPLACE PMTS,124.09,debit,Shopping,CREDIT CARD,GENERAL
7/18/2018,Amazon,AMAZON MKTPLACE PMTS,14.71,debit,Shopping,CREDIT CARD,GENERAL
7/17/2018,Amazon,AMAZON MKTPLACE PMTS,7.81,debit,Shopping,CREDIT CARD,GENERAL
7/15/2018,Amazon,AMAZON MKTPLACE PMTS,16.99,debit,Shopping,CREDIT CARD,GENERAL
7/15/2018,Amazon,AMAZON MKTPLACE PMTS,14.99,credit,Shopping,CREDIT CARD,GENERAL
7/15/2018,Amazon,AMAZON MKTPLACE PMTS,107.8,debit,Shopping,CREDIT CARD,GENERAL
7/15/2018,Amazon,AMAZON MKTPLACE PMTS,80.6,debit,Shopping,CREDIT CARD,GENERAL
6/20/2018,Amazon,AMAZON MKTPLACE PMTS,50.98,debit,Shopping,CREDIT CARD,GENERAL
6/19/2018,Amazon,AMAZON MKTPLACE PMTS,24.28,debit,Shopping,CREDIT CARD,GENERAL
6/11/2018,Amazon,AMAZON MKTPLACE PMTS,27.65,debit,Shopping,CREDIT CARD,GENERAL
6/6/2018,Amazon,AMAZON MKTPLACE PMTS,11.56,debit,Shopping,CREDIT CARD,GENERAL
6/5/2018,Amazon,AMAZON MKTPLACE PMTS,36.16,debit,Shopping,CREDIT CARD,GENERAL
6/5/2018,Amazon,AMAZON MKTPLACE PMTS,51.65,debit,Shopping,CREDIT CARD,GENERAL
6/4/2018,Amazon,AMAZON MKTPLACE PMTS,4.19,debit,Shopping,CREDIT CARD,GENERAL
6/3/2018,Amazon,AMAZON MKTPLACE PMTS,11.9,credit,Shopping,CREDIT CARD,GENERAL
5/18/2018,Amazon,AMAZON MKTPLACE PMTS,137,debit,Shopping,CREDIT CARD,GENERAL
5/16/2018,Amazon,AMAZON MKTPLACE PMTS,11.99,debit,Shopping,CREDIT CARD,GENERAL
5/1/2018,Amazon,AMAZON MKTPLACE PMTS,8.95,debit,Shopping,CREDIT CARD,GENERAL
5/1/2018,Amazon,AMAZON MKTPLACE PMTS,21.76,debit,Shopping,CREDIT CARD,GENERAL
4/4/2018,Amazon,AMAZON MKTPLACE PMTS,24.51,debit,Shopping,CREDIT CARD,GENERAL
4/4/2018,Amazon,AMAZON MKTPLACE PMTS,48.9,debit,Shopping,CREDIT CARD,GENERAL
3/19/2018,Amazon,AMAZON MKTPLACE PMTS,47.29,debit,Shopping,CREDIT CARD,GENERAL
2/28/2018,Amazon,AMAZON MKTPLACE PMTS,32.98,debit,Shopping,CREDIT CARD,GENERAL
2/23/2018,Amazon,AMAZON MKTPLACE PMTS,65.77,debit,Shopping,CREDIT CARD,GENERAL
1/26/2018,Amazon,AMAZON MKTPLACE PMTS,28.98,debit,Shopping,CREDIT CARD,GENERAL
1/17/2018,Amazon,AMAZON MKTPLACE PMTS,38.99,credit,Shopping,CREDIT CARD,GENERAL
1/17/2018,Amazon,AMAZON MKTPLACE PMTS,40.53,credit,Shopping,CREDIT CARD,GENERAL
12/24/2017,Amazon,AMAZON MKTPLACE PMTS,11.92,debit,Shopping,CREDIT CARD,GENERAL
12/24/2017,Amazon,AMAZON MKTPLACE PMTS,70.38,debit,Shopping,CREDIT CARD,GENERAL
12/21/2017,Amazon,AMAZON MKTPLACE PMTS,12.98,debit,Shopping,CREDIT CARD,GENERAL
12/21/2017,Amazon,AMAZON MKTPLACE PMTS,5.99,debit,Shopping,CREDIT CARD,GENERAL
12/21/2017,Amazon,AMAZON MKTPLACE PMTS,90.45,debit,Shopping,CREDIT CARD,GENERAL
12/1/2017,Amazon,AMAZON MKTPLACE PMTS,33.94,debit,Shopping,CREDIT CARD,GENERAL
11/29/2017,Amazon,AMAZON MKTPLACE PMTS,29.99,debit,Shopping,CREDIT CARD,GENERAL
11/29/2017,Amazon,AMAZON MKTPLACE PMTS,13.59,debit,Shopping,CREDIT CARD,GENERAL
11/24/2017,Amazon,AMAZON MKTPLACE PMTS,142.59,debit,Shopping,CREDIT CARD,GENERAL
11/21/2017,Amazon,AMAZON MKTPLACE PMTS,38.99,debit,Shopping,CREDIT CARD,GENERAL
11/17/2017,Amazon,AMAZON MKTPLACE PMTS,28.19,debit,Shopping,CREDIT CARD,GENERAL
11/16/2017,Amazon,AMAZON MKTPLACE PMTS,42.46,debit,Shopping,CREDIT CARD,GENERAL
11/6/2017,Amazon,AMAZON MKTPLACE PMTS,115.98,debit,Shopping,CREDIT CARD,GENERAL
11/6/2017,Amazon,AMAZON MKTPLACE PMTS,23.4,debit,Shopping,CREDIT CARD,GENERAL
11/3/2017,Amazon,AMAZON MKTPLACE PMTS,39.95,debit,Shopping,CREDIT CARD,GENERAL
10/22/2017,Amazon,AMAZON MKTPLACE PMTS,39.54,debit,Shopping,CREDIT CARD,GENERAL
10/16/2017,Amazon,AMAZON MKTPLACE PMTS,120,debit,Shopping,CREDIT CARD,GENERAL
10/10/2017,Amazon,AMAZON MKTPLACE PMTS,25.63,debit,Shopping,CREDIT CARD,GENERAL
9/21/2017,Amazon,AMAZON MKTPLACE PMTS,8.97,credit,Shopping,CREDIT CARD,GENERAL
9/21/2017,Amazon,AMAZON MKTPLACE PMTS,38,credit,Shopping,CREDIT CARD,GENERAL
9/17/2017,Amazon,AMAZON MKTPLACE PMTS,56.98,debit,Shopping,CREDIT CARD,GENERAL
9/15/2017,Amazon,AMAZON MKTPLACE PMTS,22.15,debit,Shopping,CREDIT CARD,GENERAL
9/3/2017,Amazon,AMAZON MKTPLACE PMTS,98.52,debit,Shopping,CREDIT CARD,GENERAL
9/3/2017,Amazon,AMAZON MKTPLACE PMTS,9.79,debit,Shopping,CREDIT CARD,GENERAL
8/11/2017,Amazon,AMAZON MKTPLACE PMTS,54.61,debit,Shopping,CREDIT CARD,GENERAL
8/11/2017,Amazon,AMAZON MKTPLACE PMTS,68.99,debit,Shopping,CREDIT CARD,GENERAL
8/10/2017,Amazon,AMAZON MKTPLACE PMTS,25.29,debit,Shopping,CREDIT CARD,GENERAL
8/6/2017,Amazon,AMAZON MKTPLACE PMTS,19.99,debit,Shopping,CREDIT CARD,GENERAL
7/28/2017,Amazon,AMAZON MKTPLACE PMTS,50.39,debit,Shopping,CREDIT CARD,GENERAL
7/28/2017,Amazon,AMAZON MKTPLACE PMTS,12.95,debit,Shopping,CREDIT CARD,GENERAL
7/26/2017,Amazon,AMAZON MKTPLACE PMTS,153.53,debit,Shopping,CREDIT CARD,GENERAL
6/30/2017,Amazon,AMAZON MKTPLACE PMTS,7.99,debit,Shopping,CREDIT CARD,GENERAL
6/21/2017,Amazon,AMAZON MKTPLACE PMTS,32.99,debit,Shopping,CREDIT CARD,GENERAL
6/21/2017,Amazon,AMAZON MKTPLACE PMTS,27.98,debit,Shopping,CREDIT CARD,GENERAL
6/20/2017,Amazon,AMAZON MKTPLACE PMTS,15.13,credit,Shopping,CREDIT CARD,GENERAL
6/16/2017,Amazon,AMAZON MKTPLACE PMTS,12.95,debit,Shopping,CREDIT CARD,GENERAL
6/14/2017,Amazon,AMAZON MKTPLACE PMTS,51.42,debit,Shopping,CREDIT CARD,GENERAL
6/14/2017,Amazon,AMAZON MKTPLACE PMTS,46.55,debit,Shopping,CREDIT CARD,GENERAL
6/14/2017,Amazon,AMAZON MKTPLACE PMTS,20.99,debit,Shopping,CREDIT CARD,GENERAL
6/9/2017,Amazon,AMAZON MKTPLACE PMTS,45.49,debit,Shopping,CREDIT CARD,GENERAL
5/26/2017,Amazon,AMAZON MKTPLACE PMTS,15.13,debit,Shopping,CREDIT CARD,GENERAL
5/25/2017,Amazon,AMAZON MKTPLACE PMTS,9.9,debit,Shopping,CREDIT CARD,GENERAL
5/21/2017,Amazon,AMAZON MKTPLACE PMTS,69.95,debit,Shopping,CREDIT CARD,GENERAL
5/16/2017,Amazon,AMAZON MKTPLACE PMTS,28.93,debit,Shopping,CREDIT CARD,GENERAL
4/14/2017,Amazon,AMAZON MKTPLACE PMTS,42.99,debit,Shopping,CREDIT CARD,GENERAL
4/9/2017,Amazon,AMAZON MKTPLACE PMTS,39.95,debit,Shopping,CREDIT CARD,GENERAL
4/6/2017,Amazon,AMAZON MKTPLACE PMTS,21.76,debit,Shopping,CREDIT CARD,GENERAL
4/6/2017,Amazon,AMAZON MKTPLACE PMTS,49.08,debit,Shopping,CREDIT CARD,GENERAL
3/21/2017,Amazon,AMAZON MKTPLACE PMTS,29.95,debit,Shopping,CREDIT CARD,GENERAL
3/21/2017,Amazon,AMAZON MKTPLACE PMTS,9.49,debit,Shopping,CREDIT CARD,GENERAL
2/21/2017,Amazon,AMAZON MKTPLACE PMTS,35.24,debit,Shopping,CREDIT CARD,GENERAL
2/21/2017,Amazon,AMAZON MKTPLACE PMTS,23,debit,Shopping,CREDIT CARD,GENERAL
2/15/2017,Amazon,AMAZON MKTPLACE PMTS,9.79,debit,Shopping,CREDIT CARD,GENERAL
2/6/2017,Amazon,AMAZON MKTPLACE PMTS,52.98,debit,Shopping,CREDIT CARD,GENERAL
2/5/2017,Amazon,AMAZON MKTPLACE PMTS,38.02,debit,Shopping,CREDIT CARD,GENERAL
1/27/2017,Amazon,AMAZON MKTPLACE PMTS,21.76,debit,Shopping,CREDIT CARD,GENERAL
1/12/2017,Amazon,AMAZON MKTPLACE PMTS,36.23,debit,Shopping,CREDIT CARD,GENERAL
1/4/2017,Amazon,AMAZON MKTPLACE PMTS,10.88,debit,Shopping,CREDIT CARD,GENERAL
1/4/2017,Amazon,AMAZON MKTPLACE PMTS,11.97,debit,Shopping,CREDIT CARD,GENERAL
1/3/2017,Amazon,AMAZON MKTPLACE PMTS,53,debit,Shopping,CREDIT CARD,GENERAL
8/1/2018,Amazon Kindle,Amazon Services-Kindle,12.99,debit,Books,CREDIT CARD,GENERAL
7/27/2018,Amazon Kindle,Amazon Services-Kindle,9.99,debit,Books,CREDIT CARD,GENERAL
6/26/2018,Amazon Kindle,Amazon Services-Kindle,13.99,debit,Books,CREDIT CARD,GENERAL
5/10/2018,Amazon Kindle,Amazon Services-Kindle,12.99,debit,Books,CREDIT CARD,GENERAL
4/12/2018,Amazon Kindle,Amazon Services-Kindle,11.99,credit,Books,CREDIT CARD,GENERAL
4/11/2018,Amazon Kindle,Amazon Services-Kindle,11.99,debit,Books,CREDIT CARD,GENERAL
3/4/2018,Amazon Kindle,Amazon Services-Kindle,13.99,debit,Books,CREDIT CARD,GENERAL
1/10/2018,Amazon Kindle,Amazon Services-Kindle,14.99,debit,Books,CREDIT CARD,GENERAL
8/10/2017,Amazon Kindle,Amazon Services-Kindle,11.99,debit,Books,CREDIT CARD,GENERAL
3/16/2017,Amazon Kindle,Amazon Services-Kindle,1.99,debit,Books,CREDIT CARD,GENERAL
2/24/2017,Amazon Kindle,Amazon Services-Kindle,9.99,debit,Books,CREDIT CARD,GENERAL
1/17/2017,Amazon Kindle,Amazon Services-Kindle,6.15,debit,Books,CREDIT CARD,GENERAL
1/13/2017,Amazon Kindle,Amazon Services-Kindle,6.15,debit,Books,CREDIT CARD,GENERAL
1/9/2017,Amazon Kindle,Amazon Services-Kindle,0.99,debit,Books,CREDIT CARD,GENERAL
1/8/2017,Amazon Kindle,Amazon Services-Kindle,8.08,debit,Books,CREDIT CARD,GENERAL
6/11/2018,Amazon Video,Amazon Video On Demand,19.99,debit,Movies & DVDs,CREDIT CARD,GENERAL
6/4/2018,Amazon web services,Amazon web services,0.83,debit,Electronics & Software,CREDIT CARD,GENERAL
5/4/2018,Amazon web services,Amazon web services,0.51,debit,Electronics & Software,CREDIT CARD,GENERAL
5/4/2017,Amazon,Amazon web services,5.62,debit,Shopping,CREDIT CARD,GENERAL
8/30/2018,Amazon,Amazon.com,200,debit,Shopping,CREDIT CARD,GENERAL
7/6/2018,Amazon,Amazon.com,17.71,debit,Shopping,CREDIT CARD,GENERAL
6/29/2018,Amazon,Amazon.com,11.08,debit,Shopping,CREDIT CARD,GENERAL
6/29/2018,Amazon,Amazon.com,38.82,debit,Shopping,CREDIT CARD,GENERAL
6/29/2018,Amazon,Amazon.com,18.71,debit,Shopping,CREDIT CARD,GENERAL
6/5/2018,Amazon,Amazon.com,47.77,debit,Shopping,CREDIT CARD,GENERAL
2/23/2018,Amazon,Amazon.com,22.67,debit,Shopping,CREDIT CARD,GENERAL
2/23/2018,Amazon,Amazon.com,18.71,debit,Shopping,CREDIT CARD,GENERAL
2/23/2018,Amazon,Amazon.com,11.08,debit,Shopping,CREDIT CARD,GENERAL
2/4/2018,Amazon,Amazon.com,271.13,debit,Shopping,CREDIT CARD,GENERAL
1/23/2018,Amazon,Amazon.com,445.3,debit,Shopping,CREDIT CARD,GENERAL
1/9/2018,Amazon,Amazon.com,64.24,debit,Shopping,CREDIT CARD,GENERAL
1/7/2018,Amazon,Amazon.com,11.05,debit,Shopping,CREDIT CARD,GENERAL
12/28/2017,Amazon,Amazon.com,59.2,debit,Shopping,CREDIT CARD,GENERAL
12/24/2017,Amazon,Amazon.com,8.18,debit,Shopping,CREDIT CARD,GENERAL
12/21/2017,Amazon,Amazon.com,107.79,debit,Shopping,CREDIT CARD,GENERAL
12/17/2017,Amazon,Amazon.com,37.52,debit,Shopping,CREDIT CARD,GENERAL
11/24/2017,Amazon,Amazon.com,32.39,debit,Shopping,CREDIT CARD,GENERAL
11/24/2017,Amazon,Amazon.com,19.93,debit,Shopping,CREDIT CARD,GENERAL
11/24/2017,Amazon,Amazon.com,9.98,debit,Shopping,CREDIT CARD,GENERAL
11/15/2017,Amazon,Amazon.com,26.99,debit,Shopping,CREDIT CARD,GENERAL
11/7/2017,Amazon,Amazon.com,27.19,credit,Shopping,CREDIT CARD,GENERAL
10/31/2017,Amazon,Amazon.com,44.18,debit,Shopping,CREDIT CARD,GENERAL
10/29/2017,Amazon,Amazon.com,21.56,debit,Shopping,CREDIT CARD,GENERAL
9/27/2017,Amazon,Amazon.com,19.54,debit,Shopping,CREDIT CARD,GENERAL
9/24/2017,Amazon,Amazon.com,64.77,debit,Shopping,CREDIT CARD,GENERAL
9/20/2017,Amazon,Amazon.com,9.98,debit,Shopping,CREDIT CARD,GENERAL
9/19/2017,Amazon,Amazon.com,38,debit,Shopping,CREDIT CARD,GENERAL
8/7/2017,Amazon,Amazon.com,45.67,debit,Shopping,CREDIT CARD,GENERAL
8/7/2017,Amazon,Amazon.com,43.5,debit,Shopping,CREDIT CARD,GENERAL
7/27/2017,Amazon,Amazon.com,1414.29,debit,Shopping,CREDIT CARD,GENERAL
7/26/2017,Amazon,Amazon.com,54.43,debit,Shopping,CREDIT CARD,GENERAL
7/25/2017,Amazon,Amazon.com,32.43,debit,Shopping,CREDIT CARD,GENERAL
7/13/2017,Amazon,Amazon.com,97.98,debit,Shopping,CREDIT CARD,GENERAL
7/9/2017,Amazon,Amazon.com,3.24,debit,Shopping,CREDIT CARD,GENERAL
7/6/2017,Amazon,Amazon.com,18.5,debit,Shopping,CREDIT CARD,GENERAL
7/6/2017,Amazon,Amazon.com,29.16,debit,Shopping,CREDIT CARD,GENERAL
7/6/2017,Amazon,Amazon.com,49.49,debit,Shopping,CREDIT CARD,GENERAL
5/28/2017,Amazon,Amazon.com,11.08,debit,Shopping,CREDIT CARD,GENERAL
5/28/2017,Amazon,Amazon.com,19.93,debit,Shopping,CREDIT CARD,GENERAL
5/28/2017,Amazon,Amazon.com,38.82,debit,Shopping,CREDIT CARD,GENERAL
4/23/2017,Amazon,Amazon.com,8.2,debit,Shopping,CREDIT CARD,GENERAL
3/12/2017,Amazon,Amazon.com,10.49,debit,Shopping,CREDIT CARD,GENERAL
2/24/2017,Amazon,Amazon.com,34.07,debit,Shopping,CREDIT CARD,GENERAL
2/21/2017,Amazon,Amazon.com,19.93,debit,Shopping,CREDIT CARD,GENERAL
2/9/2017,Amazon,Amazon.com,7.39,debit,Shopping,CREDIT CARD,GENERAL
1/20/2017,Amazon,Amazon.com,252.59,debit,Shopping,CREDIT CARD,GENERAL
6/14/2018,Amazon,AmazonPrime Membership,107.79,debit,Shopping,CREDIT CARD,GENERAL
6/14/2017,Amazon,AmazonPrime Membership,107.79,debit,Shopping,CREDIT CARD,GENERAL
3/20/2017,American Express,AMERICAN EXPRESS DES:ACH PMT ID:M1930 INDN:NATASHA R GRAYSON CO...,60,debit,Credit Card Payment,Regular Checking,IGNORE
7/10/2017,American Express,AMERICAN EXPRESS DES:ACH PMT ID:M2126 INDN:NATASHA R GRAYSON CO...,15,debit,Credit Card Payment,Regular Checking,IGNORE
4/13/2017,American Express,AMERICAN EXPRESS DES:ACH PMT ID:M4956 INDN:NATASHA R GRAYSON CO...,15,debit,Credit Card Payment,Regular Checking,IGNORE
5/8/2017,American Express,AMERICAN EXPRESS DES:ACH PMT ID:M5770 INDN:NATASHA R GRAYSON CO...,15,debit,Credit Card Payment,Regular Checking,IGNORE
6/5/2017,American Express,AMERICAN EXPRESS DES:ACH PMT ID:M9546 INDN:NATASHA R GRAYSON CO...,15,debit,Credit Card Payment,Regular Checking,IGNORE
9/14/2017,Amazon,"AMZ*InchBug, LLC",15.9,debit,Shopping,CREDIT CARD,GENERAL
11/8/2017,Amazon,AMZ*Parachute Home,69,debit,Shopping,CREDIT CARD,GENERAL
9/9/2018,Amazon,AMZN Mktp US,17.19,debit,Shopping,CREDIT CARD,GENERAL
8/30/2018,Amazon,AMZN Mktp US,8.34,debit,Shopping,CREDIT CARD,GENERAL
8/29/2018,Amazon,AMZN Mktp US,108.01,debit,Shopping,CREDIT CARD,GENERAL
8/28/2018,Amazon,AMZN Mktp US,15.99,debit,Shopping,CREDIT CARD,GENERAL
8/12/2018,Amazon,AMZN Mktp US,25.32,debit,Shopping,CREDIT CARD,GENERAL
8/9/2018,Amazon,AMZN Mktp US,84.96,debit,Shopping,CREDIT CARD,GENERAL
3/2/2018,Annie Moores Pub,ANNIE MOORES PUB  RESTAUR,20,debit,Restaurants,CREDIT CARD,FOOD
3/20/2017,Another Broken Egg,ANOTHER BROKEN EGG CAFE,38.03,debit,Restaurants,CREDIT CARD,FOOD
12/28/2017,Antonios Trattoria,ANTONIO'S TRATTORIA.,144.31,debit,Restaurants,CREDIT CARD,FOOD
8/21/2017,Apizza Regionale Gotham,APIZZA REGIONALE - GOTHAM,46.16,debit,Restaurants,CREDIT CARD,FOOD
2/7/2017,Apizza Regionale Gotham,APIZZA REGIONALE - GOTHAM,13,debit,Restaurants,CREDIT CARD,FOOD
2/7/2017,Apizza Regionale Gotham,APIZZA REGIONALE - GOTHAM,7.62,debit,Restaurants,CREDIT CARD,FOOD
2/18/2018,iTunes,APL* ITUNES.COM/BILL,0.99,credit,Music,CREDIT CARD,GENERAL
2/12/2018,iTunes,APL* ITUNES.COM/BILL,0.99,debit,Music,CREDIT CARD,GENERAL
2/5/2018,iTunes,APL* ITUNES.COM/BILL,5.43,debit,Music,CREDIT CARD,GENERAL
1/16/2018,iTunes,APL* ITUNES.COM/BILL,4.34,debit,Music,CREDIT CARD,GENERAL
11/30/2017,iTunes,APL* ITUNES.COM/BILL,7.99,debit,Music,CREDIT CARD,GENERAL
10/1/2017,iTunes,APL* ITUNES.COM/BILL,3.26,debit,Music,CREDIT CARD,GENERAL
8/20/2017,iTunes,APL* ITUNES.COM/BILL,4.34,debit,Music,CREDIT CARD,GENERAL
5/31/2017,iTunes,APL* ITUNES.COM/BILL,21.76,debit,Music,CREDIT CARD,GENERAL
4/28/2017,iTunes,APL* ITUNES.COM/BILL,4.34,debit,Music,CREDIT CARD,GENERAL
4/10/2017,iTunes,APL* ITUNES.COM/BILL,10.44,debit,Music,CREDIT CARD,GENERAL
8/30/2018,iTunes,APL*ITUNES.COM/BILL,4.34,debit,Music,CREDIT CARD,GENERAL
8/2/2018,iTunes,APL*ITUNES.COM/BILL,6.52,debit,Music,CREDIT CARD,GENERAL
12/19/2017,Apple,APPLE STORE  #R415,62.04,debit,Electronics & Software,CREDIT CARD,GENERAL
4/3/2018,Apple,APPLE STORE #R594,346.22,debit,Electronics & Software,CREDIT CARD,GENERAL
6/7/2018,Ark Bryant Park Corp,ARK BRYANT PARK,21.6,debit,Food & Dining,CREDIT CARD,FOOD
6/7/2018,Ark Bryant Park Corp,ARK BRYANT PARK,21.6,debit,Food & Dining,CREDIT CARD,FOOD
7/19/2017,Ark Bryant Park Corp,ARK BRYANT PARK,19.42,debit,Food & Dining,CREDIT CARD,FOOD
1/20/2017,Athena,ATHENA GYRO-CLVR,23.46,debit,Business Services,CREDIT CARD,GENERAL
7/4/2018,Aws,AWS #141685008,0.81,debit,Restaurants,CREDIT CARD,GENERAL
3/19/2018,Babushka Bday Deposit,Babushka bday - Check Deposit (M,250,credit,Income,Mazie,IGNORE
8/13/2018,Bagelsmith,BAGELSMITH,3.27,debit,Restaurants,CREDIT CARD,FOOD
7/4/2018,Bagelsmith,BAGELSMITH,3.27,debit,Restaurants,CREDIT CARD,FOOD
7/2/2018,Bagelsmith,BAGELSMITH,2.5,debit,Restaurants,CREDIT CARD,FOOD
6/25/2018,Bagelsmith,BAGELSMITH,8.87,debit,Restaurants,CREDIT CARD,FOOD
7/6/2017,Bagelsmith,BAGELSMITH,11.59,debit,Restaurants,CREDIT CARD,FOOD
7/25/2017,Bagelworks,BAGELWORKS,13.95,debit,Fast Food,CREDIT CARD,FOOD
8/7/2018,Bakers Dozen,BAKER'S DOZEN,31.82,debit,Restaurants,CREDIT CARD,FOOD
5/15/2018,Bakers Dozen,BAKER'S DOZEN,26.39,debit,Restaurants,CREDIT CARD,FOOD
1/8/2018,Market Kitchen LLC,BAY MARKET KITCHEN,25.56,debit,Groceries,CREDIT CARD,FOOD
1/8/2018,Market Kitchen LLC,BAY MARKET KITCHEN,5.99,debit,Groceries,CREDIT CARD,FOOD
12/31/2017,Market Kitchen LLC,BAY MARKET KITCHEN,2.17,debit,Groceries,CREDIT CARD,FOOD
12/28/2017,Market Kitchen LLC,BAY MARKET KITCHEN,4.77,debit,Groceries,CREDIT CARD,FOOD
2/5/2018,Bday Mom Deposit,Bday $ from mom - Check Deposit,400,credit,Income,90 n 5th checking,INCOME
3/11/2017,Bday Grandma Regina,Bday from grandma regina - Check,1000,credit,Income,Mazie,INCOME
4/13/2018,Wine & Spirits,BEDFORD WINES & SPIRITS,41.35,debit,Groceries,CREDIT CARD,LIQUOR
11/5/2017,Berry Park,BERRY PARK,17,debit,Alcohol & Bars,CREDIT CARD,FOOD
1/4/2017,ATM Withdrawal,BKOFAMERICA ATM 01/04 #000006757 WITHDRWL 44TH & 2ND NEW YORK NY,60,debit,Cash & ATM,Regular Checking,CASH
1/31/2017,ATM Withdrawal,BKOFAMERICA ATM 01/31 #000002873 WITHDRWL 44TH & 2ND NEW YORK NY,40,debit,Cash & ATM,Regular Checking,CASH
2/22/2017,ATM Withdrawal,BKOFAMERICA ATM 02/22 #000006240 WITHDRWL 44TH & 2ND NEW YORK NY,40,debit,Cash & ATM,Regular Checking,CASH
4/7/2017,ATM Withdrawal,BKOFAMERICA ATM 04/07 #000007081 WITHDRWL 44TH & 2ND NEW YORK NY,20,debit,Cash & ATM,Regular Checking,CASH
4/11/2017,ATM Withdrawal,BKOFAMERICA ATM 04/11 #000007897 WITHDRWL 44TH & 2ND NEW YORK NY,40,debit,Cash & ATM,Regular Checking,CASH
5/3/2017,ATM Withdrawal,BKOFAMERICA ATM 05/03 #000003934 WITHDRWL 44TH & 2ND NEW YORK NY,40,debit,Cash & ATM,Regular Checking,CASH
5/10/2017,ATM Withdrawal,BKOFAMERICA ATM 05/10 #000005422 WITHDRWL 44TH & 2ND NEW YORK NY,40,debit,Cash & ATM,Regular Checking,CASH
5/31/2017,ATM Withdrawal,BKOFAMERICA ATM 05/31 #000009129 WITHDRWL WILSHIRE CENTER LOS ANGELES CA,40,debit,Cash & ATM,Regular Checking,CASH
10/2/2017,Bkofamerica ATM Deposit,BKOFAMERICA ATM 10/02 #000006131 DEPOSIT 51ST & EIGHTH AV NEW YORK NY,300,credit,Income,Regular Savings,INCOME
7/14/2017,Bluestone Lane Avenue,BLUESTONE LANE -  AVENUE,6.26,debit,Coffee Shops,CREDIT CARD,WORK
8/5/2018,Bluestone Lane Avenue,BLUESTONE LANE - AVENUE O,5.17,debit,Coffee Shops,CREDIT CARD,WORK
8/2/2018,Bluestone Lane Avenue,BLUESTONE LANE - AVENUE O,4.08,debit,Coffee Shops,CREDIT CARD,WORK
2/8/2018,Bluestone Lane Avenue,BLUESTONE LANE - AVENUE O,7.62,debit,Coffee Shops,CREDIT CARD,WORK
5/27/2018,BP,BP#9711805MEEKER PETROLE,33.07,debit,Gas & Fuel,CREDIT CARD,GENERAL
4/1/2018,BP,BP#9711805MEEKER PETROLE,35.61,debit,Gas & Fuel,CREDIT CARD,GENERAL
3/18/2018,Brasserie Athenee,BRASSERIE ATHENEE,24,debit,Restaurants,CREDIT CARD,FOOD
1/16/2018,Brooklyn Bowl LLC,BROOKLYN BOWL,108.53,debit,Entertainment,CREDIT CARD,FOOD
10/2/2017,Brooklyn Bowl LLC,BROOKLYN BOWL,24,debit,Entertainment,CREDIT CARD,FOOD
3/13/2017,Brooklyn Crab,BROOKLYN CRAB,64.35,debit,Restaurants,CREDIT CARD,FOOD
7/22/2018,Brooklyn Harvest Market,BROOKLYN HARVEST MA,20.99,debit,Groceries,CREDIT CARD,FOOD
5/7/2018,Brooklyn Harvest Market,BROOKLYN HARVEST MA,6.79,debit,Groceries,CREDIT CARD,FOOD
3/5/2018,Brooklyn Harvest Market,BROOKLYN HARVEST MA,56.94,debit,Groceries,CREDIT CARD,FOOD
2/12/2018,Brooklyn Harvest Market,BROOKLYN HARVEST MA,2,debit,Groceries,CREDIT CARD,FOOD
